,Domain name,MBFC1,MBFC2,MBFC ranking,Global,W,Misinfo,Get fact-checks for:
358,ecgeorgianews.com,mixed,FN,L,"20,000,000",W,-0.36,EC Georgia News
359,echocheck.org,very-low,FN,L,"20,000,000",,-1,Echo Check
360,ecindiananews.com,mixed,FN,L,"20,000,000",W,-0.36,EC Indiana News
361,eciowanews.com,mixed,FN,L,"20,000,000",W,-0.36,East Central Iowa News
362,eckansasnews.com,mixed,FN,L,"20,000,000",W,-1,EC Kansas News
363,ecmissnews.com,mixed,FN,L,"20,000,000",W,-1,EC Mississippi News
364,ecology.news,very-low,CP,L,"20,000,000",W,0,Ecology News
365,economictimes.indiatimes.com,mixed,FN,L,234,W,0.22,The Economic Times
366,educate-yourself.org,very-low,CP,L,"760,928",,-0.2,Educate Yourself
367,educateinspirechange.org,mixed,CP,L,"1,438,793",,-0.09,Educate Inspire Change
368,electroverse.net,low,CP,L,"896,993",,0,Electroverse
369,elizabethtowntimes.com,mixed,FN,L,"20,000,000",W,-1,Elizabethtown Times
370,elkharttimes.com,mixed,FN,L,"20,000,000",W,-0.36,Elkhart Times
371,eluxemagazine.com,mixed,CP,L,"334,138",,0,Eluxe Magazine
372,emeraldcoasttimes.com,mixed,FN,L,"20,000,000",W,-0.36,Emerald Coast Times
373,emirates247.com,mixed,FN,L,"409,591",W,0.1,Emirates 24/7
374,empireherald.com,low,FN,L,"6,126,173",W,-1,Empire Herald
375,en-volve.com,very-low,FN,L,"309,732",,-1,En-volve
376,en.bbarta24.net,mixed,FN,L,"133,215",,0,"Bbarta24,net"
377,en.granma.cu,mixed,FN,L,"116,668",,0.03,Granma
378,en.mehrnews.com,mixed,FN,L,"1,765",W,0.04,Mehr News Agency
379,en.mercopress.com,mixed,FN,L,"245,669",,0.02,MercoPress
380,en.metapedia.org,low,FN,L,"178,242",W,-0.36,Metapedia
381,en.newsner.com,very-low,FN,L,"36,909",,0,Newsner
382,endthefed.org,low,FN,L,"7,408,783",,0,End the Fed
383,eng.majalla.com,mixed,FN,L,"361,123",W,0.03,The Majalla
384,english.alarabiya.net,mixed,FN,L,"2,233",W,0.16,Al Arabiya
385,english.almanar.com.lb,mixed,FN,L,"43,233",,0.07,Al-Manar English
386,english.cctv.com,mixed,FN,L,133,W,0.07,CCTV International
387,escapeallthesethings.com,low,CP,L,"4,942,754",,0.38,Escape all these Things
388,eugenics.news,very-low,CP,L,"6,969,718",,0,Eugenics.News
389,europe-israel.org,mixed,FN,L,"573,249",,-0.59,Europe-Israel News
390,europereloaded.com,low,CP,L,"1,135,132",,,Europe Reloaded
391,eutimes.net,low,CP,L,"665,015",,-0.13,The European Union Times
392,everetttimes.com,mixed,FN,L,"20,000,000",,,Everett Times
393,everylegalvote.com,low,FN,L,"7,353,531",,0,Every Legal Vote
394,everytown.org,mixed,FN,L,"360,234",W,0.06,Everytown for Gun Safety
395,evil.news,low,FN,L,"6,656,360",W,0,Evil.News
396,evolutionnews.org,low,CP,L,"206,488",,0.12,Evolution News and Views
397,explainlife.com,very-low,FN,L,"8,989,847",,-1,Explain Life
398,expose-news.com,very-low,CP,L,"34,162",W,0.41,The Expose
399,extraordinaryinfo.com,mixed,CP,L,"2,397,371",W,0,Extraordinary News
400,fabiosa.com,mixed,CP,L,"9,095,286",,0.02,Fabiosa
401,factcheckingturkey.com,mixed,FN,L,"9,948,358",,0,Fact Checking Turkey
402,factswanted.com,mixed,FN,L,"20,000,000",,0,Facts Wanted
403,fairus.org,low,FN,L,"462,713",W,0.24,The Federation for American Immigration Reform
404,faithpanda.com,mixed,CP,L,"1,714,813",,0,FaithPanda
405,familysurvivalheadlines.com,mixed,FN,L,"9,447,114",,0,Family Survival Headlines
406,farsnews.ir,mixed,FN,L,"1,075",W,-0.76,Fars News Agency
407,fayettevillestandard.com,mixed,FN,L,"20,000,000",W,-0.36,Fayetteville Standard
408,federalistpress.com,mixed,FN,L,"20,000,000",,-0.06,Federalist Press
409,fellowshipoftheminds.com,low,CP,L,"6,088,195",,-0.91,Fellowship of the Minds
410,filmingcops.com,mixed,FN,L,"20,000,000",,0.01,Filming Cops
411,fireboebert.com,mixed,FN,L,"3,084,782",,0.6,Fire Boebert
412,firstinfreedomdaily.com,mixed,FN,L,"20,000,000",,0,First in Freedom Daily
413,firststatetimes.com,mixed,FN,L,"20,000,000",W,-0.36,First State Times
414,fl24.net,mixed,FN,L,"5,124,402",,-0.17,FL24.net
415,flagandcross.com,mixed,FN,L,"370,098",,0,Flag & Cross
416,flcatholictribune.com,mixed,FN,L,"20,000,000",W,-1,Catholic Tribune - Florida
417,floridaparishnews.com,mixed,FN,L,"20,000,000",W,-0.95,Florida Parish News
418,focusonthefamily.com,low,FN,L,"66,696",W,0.66,Focus on the Family
419,food.news,very-low,CP,L,"2,196,544",W,0,Food.News
420,foodbabe.com,mixed,CP,L,"538,813",W,-0.12,Food Babe
421,foodmatters.com,mixed,CP,L,"517,157",W,0,Food Matters
422,foreignpolicyi.org,mixed,FN,L,"154,917",,0.02,Foreign Policy
423,foreverconscious.com,low,CP,L,"249,541",,0.32,Forever Conscious
424,fortherightnews.com,low,FN,L,"20,000,000",,0,For the Right News
425,fortsmithtimes.com,mixed,FN,L,"20,000,000",W,-0.36,Fort Smith Times
426,foxnews.com,mixed,FN,L,255,W,0.04,Fox News
427,fr.sputniknews.com,very-low,FN,L,"9,217",W,0.04,Sputnik France
428,fr24news.com,mixed,FN,L,"9,422,647",,0.02,FR24 News
429,frankspeech.com,very-low,FN,L,"75,932",W,0.6,Frank Speech
430,frc.org,low,FN,L,"307,624",W,0.24,Family Research Council
431,free-speechfront.info,low,FN,L,"20,000,000",,-0.6,Free-Speech Front
432,freedom.news,very-low,CP,L,"7,547,824",W,0,Freedom.News
433,freedomadvocates.org,low,CP,L,"8,583,309",,0,Freedom Advocates
434,freedomainradio.com,low,CP,L,"10,639,364",W,-0.33,Freedomain Radio
435,freedomdaily.com,low,FN,L,"7,098,758",,-0.97,Freedom Daily
436,freedomfirstnetwork.com,low,FN,L,"331,692",,-0.6,Freedom First Network
437,freedomnewsreport.com,mixed,FN,L,"20,000,000",,0,Freedom News Report
438,freedomproject.com,low,FN,L,"2,967,122",,0.12,FreedomProject Media
439,freetelegraph.com,mixed,FN,L,"3,069,765",W,-0.02,The Free Telegraph
440,freewestmedia.com,mixed,FN,L,"323,857",,0,Free West Media
441,freeworldnews.tv,very-low,CP,L,"310,213",,0,Banned.Video
442,fresnoleader.com,mixed,FN,L,"20,000,000",W,-0.36,Fresno Leader
443,friatider.se,low,FN,L,"21,819",,-0.83,Fria Tider
444,friendsofscience.org,mixed,CP,L,"1,248,112",W,0,Friends of Science
445,fromthetrenchesworldreport.com,low,CP,L,"747,028",,-0.54,From the Trenches World Report
446,front.moveon.org,mixed,FN,L,"103,510",W,0.16,MoveOn
447,frontpagemag.com,low,FN,L,"88,232",W,-0.71,FrontPage Magazine
448,ftwaynetimes.com,mixed,FN,L,"20,000,000",W,-0.36,Ft Wayne Times
449,fury.news,very-low,FN,L,"8,824,719",,0,Fury News
450,gadsdentoday.com,mixed,FN,L,"20,000,000",W,-0.36,Gadsden Today
451,gaia.com,low,CP,L,"16,336",W,-0.04,Gaia
452,galesburgreporter.com,mixed,FN,L,"20,000,000",W,-0.36,Galesburg Reporter
453,gatestoneinstitute.org,mixed,FN,L,"100,924",W,0.03,Gatestone Institute
454,gellerreport.com,low,FN,L,"165,925",W,-0.97,Geller Report
455,gemstatewire.com,mixed,FN,L,"20,000,000",W,-0.36,Gem State Wire
456,gender.news,very-low,CP,L,"5,967,059",,,Gender.news
457,geneseenews.com,mixed,FN,L,"20,000,000",W,-0.95,Genesee News
458,genzconservative.com,mixed,FN,L,"662,965",,0,Gen Z Conservative
459,geoengineering.news,very-low,CP,L,"5,753,292",W,0,Geoengineering.News
460,geoengineeringwatch.org,low,CP,L,"250,402",,-0.61,GeoEngineering Watch
461,geopol.institute,low,FN,L,"20,000,000",,0,Geopolitical Studies Institute
462,geopolitics.co,mixed,CP,L,"398,837",,0,Covert Geopolitics
463,georgiamountainnews.com,mixed,FN,L,"20,000,000",W,0.02,Georgia Mountain News
464,getholistichealth.com,low,CP,L,"1,099,190",,-0.93,Get Holistic Health
465,gettr.com,low,FN,L,"2,993",W,-0.58,GETTR
466,ghost.report,mixed,FN,L,"20,000,000",,0.02,Ghost.Report
467,girlsjustwannahaveguns.com,low,FN,L,"20,000,000",,-0.6,Girls Just Wanna Have Guns
468,glitch.news,very-low,CP,L,"20,000,000",,0.2,Glitch.News
469,globalhealingcenter.com,mixed,CP,L,"3,957,994",W,0.05,Global Healing Center
470,globalinfotoday.com,low,FN,L,"20,000,000",,0,Global Info Today
471,globalpoliticsnow.com,low,FN,L,"20,000,000",,-0.65,Global Politics Now
472,globalresearch.ca,low,CP,L,"51,995",W,-0.77,Global Research
473,globalskywatch.com,low,CP,L,"2,154,627",,0,Global Skywatch
474,globaltimes.cn,mixed,FN,L,"8,601",W,0.01,Global Times
475,globemagazine.com,very-low,FN,L,"3,268,178",,0.22,Globe Magazine
476,gmo.news,very-low,CP,L,"5,271,514",W,-0.22,GMO.News
477,gmowatch.com,mixed,CP,L,"20,000,000",,0,GMO Watch
478,gmwatch.org,mixed,CP,L,"1,436,767",,0.04,GMWatch
479,gnews.org,low,FN,L,"22,667",W,-0.58,G News
480,godandscience.org,low,CP,L,"5,217,501",,0.66,Evidence for God from Science
481,godfatherpolitics.com,mixed,FN,L,"20,000,000",,0.02,Godfather Politics
482,godlikeproductions.com,low,CP,L,"13,951",,-0.67,Godlike Productions
483,goldcountrytoday.com,mixed,FN,L,"20,000,000",W,-0.36,Gold Country Today
484,goldenstatetoday.com,mixed,FN,L,"6,795,535",W,-0.36,Golden State Today
485,goodgopher.com,very-low,FN,L,"1,687,842",,0,GoodGopher
486,goodsciencing.com,very-low,FN,L,"684,194",,0.6,Real Science
487,goop.com,low,CP,L,"40,896",W,0.62,Goop
488,gop.com,mixed,FN,L,"136,167",W,0.08,Republican National Committee
489,gop.gov,mixed,FN,L,"650,834",W,0.12,House Republicans
490,gopdailybrief.com,mixed,FN,L,"1,496,347",,0,GOP Daily Brief
491,gotquestions.org,low,CP,L,"6,232",,0.78,Got Questions
492,govtslaves.com,low,CP,L,"20,000,000",,0,Government Slaves
493,grainoftruth.ca,very-low,FN,L,"5,869,582",,0,Grain of Truth
494,grandcanyontimes.com,mixed,FN,L,"2,490,099",W,-0.36,Grand Canyon Times
495,grandjunctiontimes.com,mixed,FN,L,"20,000,000",W,-0.36,Grand Junction Times
496,grandrapidsreporter.com,mixed,FN,L,"20,000,000",W,-0.95,Grand Rapids Reporter
497,greanvillepost.com,mixed,CP,L,"917,546",,-0.07,The Greanville Post
498,greatamericandaily.com,low,FN,L,"405,281",,0,Great American Daily
499,greatamericanrepublic.com,low,FN,L,"4,471,265",,0,Great American Republic
500,greatlakeswire.com,mixed,FN,L,"20,000,000",W,-0.95,Great Lakes Wire
501,greatreject.org,very-low,CP,L,"1,770,929",,-0.91,GreatReject
502,greenmedinfo.com,low,CP,L,"223,154",,-0.64,GreenMedInfo
503,greenpeace.org,mixed,CP,L,"30,230",W,0.05,Greenpeace
504,gript.ie,mixed,FN,L,"219,221",W,,Gript
505,grundyreporter.com,mixed,FN,L,"20,000,000",,-0.36,Grundy Reporter
506,grunge.com,mixed,FN,L,"34,034",W,0.01,Grunge
507,gtrtimes.com,mixed,FN,L,"20,000,000",W,-0.95,GTR Times
508,gulagbound.com,low,CP,L,"8,868,892",,-0.33,Gulag Bound
509,gulfnews.com,mixed,FN,L,"10,652",W,0.19,Gulf News
510,haarp.net,low,CP,L,"5,188,212",,-0.56,HAARP
511,hagmannreport.com,low,FN,L,"339,770",,0.24,Hagmann Report
512,halturnerradioshow.com,very-low,FN,L,"29,325",W,-0.57,Hal Turner Radio Show
513,hangthebankers.com,low,FN,L,"7,242,365",,-0.78,Hang The Bankers
514,hannity.com,low,FN,L,"77,295",W,-0.15,Sean Hannity
515,hardnews.network,mixed,FN,L,"20,000,000",,0,Hard News
516,hartfordreporter.com,mixed,FN,L,"20,000,000",W,-0.36,Hartford Reporter
517,hawkeyereporter.com,mixed,FN,L,"20,000,000",W,-0.36,Hawkeye Reporter
518,headlineusa.com,mixed,FN,L,"150,710",,,Headline USA
519,headtopics.com,mixed,FN,L,"27,955",,0.16,Head Topics
520,healingfoodreference.com,very-low,CP,L,"3,268,964",,0.5,Healing Food Reference
521,healingoracle.ch,very-low,CP,L,"2,888,915",,0,Healing Oracle
522,health.news,very-low,CP,L,"3,346,332",W,0,Health.News
523,healthimpactnews.com,very-low,CP,L,"89,072",,-0.76,Health Impact News
524,healthnutnews.com,very-low,CP,L,"797,612",,-0.85,Health Nut News
525,healthranger.com,very-low,CP,L,"1,615,031",,-0.14,The Health Ranger
526,healthrangerreport.com,very-low,CP,L,"1,018,260",W,0,Health Ranger Report
527,healthy-holistic-living.com,low,CP,L,"683,479",,-0.85,Healthy Holistic Living
528,healthyandnaturalworld.com,mixed,CP,L,"248,222",,-0.58,Healthy and Natural World
529,healthyfoodhouse.com,low,CP,L,"901,221",,-0.33,Healthy Food House
530,heartland.org,low,FN,L,"407,531",W,-0.28,Heartland Institute
531,hellochristian.com,mixed,CP,L,"20,000,000",,0,Hello Christian
532,herb.co,mixed,CP,L,"136,110",,0,Herb
533,herbreference.com,very-low,CP,L,"5,251,907",,0,Herbreference.com
534,hereistheevidence.com,low,FN,L,"2,223,512",,0,Here Is the Evidence
535,hernandoreporter.com,mixed,FN,L,"20,000,000",W,-0.36,Hernando Reporter
536,higherperspectives.com,mixed,CP,L,"315,061",,0.04,Higher Perspective
537,hindstoday.com,mixed,FN,L,"20,000,000",W,-0.95,Hinds Today
538,hoggwatch.com,low,FN,L,"20,000,000",W,0,Hogg Watch
539,hollandreporter.com,mixed,FN,L,"8,714,968",W,-0.95,Holland Reporter
540,home.nra.org,mixed,FN,L,"159,392",W,0.1,National Rifle Association
541,homevaccineeducationnetwork.com,very-low,CP,L,"20,000,000",,,Home Vaccine Education Network
542,honolulureporter.com,mixed,FN,L,"20,000,000",W,-0.36,Honolulu Reporter
543,hoosierstatetoday.com,mixed,FN,L,"20,000,000",W,-0.36,Hoosier State Today
544,hopkinsvilletimes.com,mixed,FN,L,"20,000,000",W,-0.95,Hopekinsville Times
545,hotspringstimes.com,mixed,FN,L,"20,000,000",W,-0.36,Hot Springs Times
546,houmathibodauxnews.com,mixed,FN,L,"20,000,000",W,-0.95,Houma Thibodaux News
547,housatonicvalleynews.com,mixed,FN,L,"20,000,000",W,-0.36,Housatonic Valley News
548,howardconews.com,mixed,FN,L,"20,000,000",W,-0.96,Howard County News
549,hsionline.com,low,CP,L,"1,402,954",,0,Health Sciences Institute
550,humansarefree.com,low,CP,L,"3,014,202",,-0.57,Humans are Free
551,huntsvilleleader.com,mixed,FN,L,"20,000,000",W,-0.36,Huntsville Leader
552,hutchtoday.com,mixed,FN,L,"20,000,000",W,-0.95,Hutch Today
553,icandecide.org,low,CP,L,"260,843",W,,Informed Consent Action Network
554,iceagenow.info,low,CP,L,"5,010,460",,0.24,Ice Age Now
555,icr.org,very-low,CP,L,"194,533",,-0.19,Institute for Creation Research
556,identityevropa.com,very-low,FN,L,"20,000,000",W,-0.96,Identity Evropa
557,iharare.com,mixed,FN,L,"96,925",,-0.04,iHarare
558,ihatethemedia.com,low,FN,L,"2,298,222",,0.5,I Hate the Media
559,ihealthtube.com,low,CP,L,"7,338,496",,0.44,iHealthtube.com
560,iheartintelligence.com,mixed,CP,L,"553,655",,0.03,I Heart Intelligence
561,ihr.org,very-low,FN,L,"855,908",W,-0.24,Institute for Historical Review
562,ihypocrite.net,mixed,FN,L,"11,036,502",,0,"I, Hypocrite"
563,illegalaliencrimereport.com,mixed,FN,L,"1,878,286",,0,Illegal Alien Crime Report
564,illicitinfo.com,low,FN,L,"3,428,844",,0,Illicit Info
565,illinoisvalleytimes.com,mixed,FN,L,"9,448,521",,-0.36,Illinois Valley Times
566,illuminati-news.com,low,CP,L,"1,339,102",,-0.86,Illuminati News
567,illuminatiwatcher.com,low,CP,L,"1,814,247",,-0.89,Illuminati Watcher
568,ilovemyfreedom.org,very-low,FN,L,"1,095,676",,-1,I Love My Freedom
569,imperialcanews.com,mixed,FN,L,"20,000,000",W,-0.36,Imperial CA News
570,independentminute.com,low,FN,L,"747,323",,,Independent Minute
571,independentsciencenews.org,mixed,CP,L,"1,744,723",W,0.03,Independent Science News
572,independentsentinel.com,mixed,FN,L,"172,145",,0,Independent Sentinel
573,indystandard.com,mixed,FN,L,"20,000,000",W,-0.36,Indy Standard
574,infiniteunknown.net,low,CP,L,"1,944,680",,-0.47,Infinite Unknown
575,infogalactic.com,low,FN,L,"256,291",W,0,InfoGalactic
576,informationclearinghouse.info,mixed,CP,L,"255,655",,0.09,Information Clearing House
577,informationliberation.com,low,FN,L,"189,933",,-0.85,Information Liberation
578,informer.rs,mixed,FN,L,"14,921",W,0.28,Informer - Serbia
579,inforos.ru,low,FN,L,"5,287,628",,0.22,InfoRos.ru
580,infoscum.com,mixed,FN,L,"20,000,000",,0,InfoScum
581,infowars.com,very-low,CP,L,"6,668",W,-0.88,Infowars
582,ingredients.news,very-low,CP,L,"8,584,189",W,0,Ingredients.News
583,intellihub.com,low,CP,L,"5,043,781",,-0.66,Intellihub
584,interioralaskanews.com,mixed,FN,L,"8,544,622",W,-0.36,Interior Alaska News
585,investmentwatchblog.com,mixed,CP,L,"136,250",,-0.1,Investment Watch Blog
586,iowacitytoday.com,mixed,FN,L,"8,911,095",W,-0.36,Iowa City Today
587,iowaclimate.org,low,CP,L,"2,505,795",,0,Iowa Climate Science Education
588,ipatriot.com,mixed,FN,L,"2,005,492",,0,iPatriot
589,israel365news.com,mixed,CP,L,"284,218",,,Israel365 News
590,israelislamandendtimes.com,low,CP,L,"9,743,453",,0,"Israel, Islam and End Times"
591,it.sputniknews.com,very-low,FN,L,"9,217",W,0.28,Sputnik Italia
592,ivmmeta.com,mixed,FN,L,"6,345,863",,0,Ivermectin for Covid-19
593,jacksonpurchasenews.com,mixed,FN,L,"20,000,000",W,-0.95,Jackson Purchase News
594,jbs.org,low,FN,L,"762,515",W,0.16,John Birch Society
595,jedanews.com,low,CP,L,"277,304",,,Jeda News
596,jeffersonreporter.com,mixed,FN,L,"20,000,000",W,-0.36,Jefferson Reporter
597,jesus-is-savior.com,very-low,CP,L,"225,140",,-0.34,Jesus is Savior
598,jesusdaily.com,low,CP,L,"20,000,000",,0.6,Jesus Daily
599,jocotoday.com,mixed,FN,L,"20,000,000",W,-0.95,Joco today
600,joebiden.news,very-low,CP,L,"8,490,627",,0,Joe Biden News
601,joeforamerica.com,low,FN,L,"8,715,481",W,-0.52,Joe for America
602,joerogan.com,mixed,FN,L,"376,624",W,,The Joe Rogan Experience
603,jonesborotimes.com,mixed,FN,L,"20,000,000",W,-0.36,Jonesboro Times
604,journal-neo.org,low,FN,L,"560,484",W,-0.25,New Eastern Outlook
605,judicialwatch.org,low,FN,L,"133,669",W,0.23,Judicial Watch
606,judithcurry.com,mixed,CP,L,"668,406",W,0.02,Climate Etc
607,junkscience.com,low,CP,L,"1,368,325",,0.34,JunkScience.com
608,justthefacts.org,mixed,FN,L,"20,000,000",,0,Just the Facts
609,justthenews.com,mixed,FN,L,"16,694",W,0.07,Just The News
610,jw.org,low,CP,L,"1,047",W,0.76,Jehovah's Witnesses
611,kalamazootimes.com,mixed,FN,L,"20,000,000",W,-0.95,Kalamazoo Times
612,kanecountyreporter.com,mixed,FN,L,"5,774,672",,-0.36,Kane County Reporter
613,kankakeetimes.com,mixed,FN,L,"8,878,452",,-0.36,Kankakee Times
614,katehon.com,low,FN,L,"356,991",,,Katehon
615,kauaisun.com,mixed,FN,L,"20,000,000",W,-0.36,Kauai Sun
616,kendallcountytimes.com,mixed,FN,L,"7,993,908",W,-0.36,Kendall County Times
617,kentcountytoday.com,mixed,FN,L,"20,000,000",W,-0.36,Kent County Today
618,kentuckianatimes.com,mixed,FN,L,"20,000,000",W,-0.36,Kentuckiana Times
619,kerncountytimes.com,mixed,FN,L,"20,000,000",W,-0.36,Kern Country Times
620,keywestreporter.com,mixed,FN,L,"20,000,000",W,-0.36,Key West Reporter
621,kingscountytimes.com,mixed,FN,L,"20,000,000",W,-0.36,Kings County Times
622,kiwifarms.net,low,FN,L,"23,324",W,0.26,Kiwi Farms
623,knowledgeoftoday.org,low,CP,L,"20,000,000",,-0.47,Knowledge of Today
624,kokomostandard.com,mixed,FN,L,"20,000,000",W,-0.36,Kokomo Standard
625,lafayettereporter.com,mixed,FN,L,"20,000,000",W,-0.95,Lafayette Reporter
626,lafayettetimes.com,mixed,FN,L,"20,000,000",W,-0.36,Lafayette Times
627,laharbornews.com,mixed,FN,L,"8,614,441",W,-0.36,LA Harbor News
628,lakecountygazette.com,mixed,FN,L,"1,850,568",,-0.36,Lake County Gazette
629,laketahoesun.com,mixed,FN,L,"20,000,000",W,-0.36,Lake Tahoe Sun
630,lancastercourier.com,mixed,FN,L,"1,917,234",,0,Lancaster Courier
631,lansingsun.com,mixed,FN,L,"4,254,953",W,-0.96,Lansing Sun
632,larimernews.com,mixed,FN,L,"20,000,000",W,-0.36,Larimer News
633,larouchepac.com,low,CP,L,"502,356",W,0.42,LaRouche PAC
634,lastfrontiernews.com,mixed,FN,L,"20,000,000",W,-0.36,Last Frontier News
635,latitudes.org,mixed,CP,L,"1,829,892",,0,ACN Latitudes
636,lawrencereporter.com,mixed,FN,L,"20,000,000",W,-0.95,Lawrence Reporter
637,laxleader.com,mixed,FN,L,"8,545,910",W,-0.36,LAX Leader
638,learntherisk.org,very-low,CP,L,"3,366,433",W,0,LearnTheRisk.org
639,leftaction.com,low,FN,L,"719,446",,0.48,Left Action
640,leftcult.com,very-low,CP,L,"20,000,000",,0,LeftCult
641,leftexposed.org,low,FN,L,"20,000,000",,0,Left Exposed
642,legitgov.org,mixed,CP,L,"2,511,073",,0.02,Citizens for Legitimate Government
643,lesmoutonsrebelles.com,very-low,CP,L,"852,076",,-0.98,Moutons Rebelles
644,lewistontimes.com,mixed,FN,L,"20,000,000",W,-0.95,Lewiston Times
645,lewrockwell.com,low,FN,L,"34,968",W,0.1,Lew Rockwell
646,liberty.news,very-low,CP,L,"3,421,374",W,0,Liberty.News
647,libertybell.com,low,FN,L,"10,048,358",,-0.28,Liberty Bell
648,libertyhangout.org,low,FN,L,"4,511,236",W,0,Liberty Hangout
649,libertyplanets.com,very-low,CP,L,"1,472,988",,,Liberty Planet
650,libertytalk.fm,mixed,FN,L,"20,000,000",,-0.1,LibertyTalk FM
651,libertyvideos.org,low,CP,L,"20,000,000",,-0.67,Liberty Videos
652,libertywire.net,very-low,FN,L,"965,743",,,Liberty Wire
653,libtards.news,very-low,CP,L,"20,000,000",W,0,Libtards.News
654,lifenews.com,low,FN,L,"139,729",,-0.73,Life News
655,lifesitenews.com,low,FN,L,"33,778",,-0.16,Life Site News
656,lifespa.com,low,CP,L,"318,331",,0,LifeSpa
657,lindelltv.com,very-low,FN,L,"7,187,955",W,-1,Lindell TV
658,litchfieldhillstoday.com,mixed,FN,L,"20,000,000",W,-0.36,Litchfield Hills Today
659,littleappletimes.com,mixed,FN,L,"20,000,000",W,-0.95,Little Apple Times
660,littlethings.com,mixed,CP,L,"80,799",,0.12,LittleThings
661,liveaction.org,mixed,CP,L,"175,452",,0.03,Live Action
662,liveleak.com,mixed,FN,L,"242,560",W,-0.07,Live Leak
663,livestrong.com,mixed,CP,L,"9,499",W,0.23,Livestrong.com
664,livingstonetoday.com,mixed,FN,L,"20,000,000",W,,Livingston Today
665,livingstontoday.com,mixed,FN,L,"20,000,000",W,-0.95,Livingston Today
666,livingwhole.org,mixed,CP,L,"8,317,676",,-0.04,Living Whole
667,londonwebnews.com,low,FN,L,"20,000,000",,0,London Web News
668,loonwatch.com,low,FN,L,"2,851,146",,0,LoonWatch
669,louderwithcrowder.com,mixed,FN,L,"41,893",,,Louder with Crowder
670,louisvillecitywire.com,mixed,FN,L,"20,000,000",W,-0.95,Louisville City Wire
671,lowedeltanews.com,mixed,FN,L,"20,000,000",W,-0.36,Lowe Delta News
672,lucianne.com,mixed,FN,L,"53,957",W,0.12,Lucianne.com
673,mabusinessdaily.com,mixed,FN,L,"20,000,000",W,-1,Massachusetts Business Daily
674,macombtoday.com,mixed,FN,L,"20,000,000",W,-0.95,Macomb Today
675,maconreporter.com,mixed,FN,L,"20,000,000",W,0.02,Macon Reporter
676,macontimes.com,mixed,FN,L,"20,000,000",W,-0.36,Macon Times
677,madworldnews.com,low,FN,L,"2,404,355",,-0.69,Mad World News
678,magapill.com,mixed,FN,L,"3,804,012",,0.03,MagaPill
679,magicvalleytimes.com,mixed,FN,L,"20,000,000",W,-0.36,Magic Valley Times
680,mainehighlandsnews.com,mixed,FN,L,"20,000,000",W,-0.95,Maine Highlands News
681,mainelakesnews.com,mixed,FN,L,"20,000,000",W,-0.95,Maine Lakes News
682,mainstreamfakemedia.com,low,FN,L,"2,848,583",,,Mainstream Fake Media
683,manateereview.com,mixed,FN,L,"20,000,000",W,-0.36,Manatee Review
684,manilabusinessdaily.com,mixed,FN,L,"20,000,000",W,-1,Manila Business Daily
685,marinleader.com,mixed,FN,L,"20,000,000",W,-0.36,Marin Leader
686,matsutimes.com,mixed,FN,L,"20,000,000",W,-0.36,Mat-Su Times
687,mauireporter.com,mixed,FN,L,"20,000,000",W,-0.36,Maui Reporter
688,mchenrytimes.com,mixed,FN,L,"2,575,890",W,-0.36,McHenry Times
689,mcleancountytimes.com,mixed,FN,L,"7,655,492",,-0.36,McLean County Times
690,mdbusinessdaily.com,mixed,FN,L,"20,000,000",W,-1,Maryland Business Daily
691,mdstatewire.com,mixed,FN,L,"6,567,072",W,-0.95,Maryland State Wire
692,mediafactwatch.com,very-low,CP,L,"20,000,000",W,0,Media Fact Watch
693,mediaroots.org,mixed,CP,L,"4,256,948",W,0.02,Media Roots
694,medicalcensorship.com,very-low,CP,L,"20,000,000",,,Medical Censorship News
695,medicaldaily.com,mixed,CP,L,"170,869",,0.14,Medical Daily
696,medicalkidnap.com,very-low,CP,L,"1,119,411",,-1,Medical Kidnap
697,medicalmedium.com,low,CP,L,"106,981",W,0.24,Medical Medium
698,medicine.news,low,CP,L,"2,120,149",W,0,Medicine News
699,medusamagazine.com,mixed,CP,L,"1,767,722",,0,Medusa Magazine
700,meforum.org,low,FN,L,"321,636",W,0.64,Middle East Forum
701,memri.org,mixed,FN,L,"208,602",W,0.04,Middle East Media Research Institute
702,mena.org.eg/en,mixed,FN,L,"64,006",W,,Middle East News Agency
703,mercedtimes.com,mixed,FN,L,"7,526,161",W,-0.36,Merced Times
704,mercola.com,low,CP,L,"14,109",W,0,Mercola
705,merica1st.com,low,FN,L,"1,473,959",,-0.6,National Conservative
706,merrimackvalleynews.com,mixed,FN,L,"20,000,000",W,-0.95,Merrimack Valley News
707,metricmedianews.com,mixed,FN,L,"5,210,340",W,-0.37,Metric Media
708,metroeastsun.com,mixed,FN,L,"9,038,965",W,-0.36,Metro East Sun
709,metrolexnews.com,mixed,FN,L,"20,000,000",W,-0.95,Metro Lex News
710,metrowesttimes.com,mixed,FN,L,"20,000,000",W,-0.95,Metro West Times
711,mexicobusinessdaily.com,mixed,FN,L,"20,000,000",W,-1,Mexico Business Daily
712,miamicourant.com,mixed,FN,L,"20,000,000",W,-0.36,Miami Courant
713,miamistandard.news,mixed,FN,L,"3,814,585",,-1,Miami Standard
714,mibusinessdaily.com,mixed,FN,L,"20,000,000",W,-1,Michigan Business Daily
715,micapitolnews.com,mixed,FN,L,"5,913,434",W,-0.95,Capitol News
