"label","is_PE","Id","Degree","Betweenness","PageRank","Bridge","path","flow","name","path1","path2","path3","submod","Community","Bridge_stars","Degree_stars","Betweenness_stars","PageRank_stars"
"non-individual",NA,301176,10,579.737862115371,6.96504475828512e-05,0,"2:3:116",3.19e-05,301176,2,3,116,"2 3","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,170165,17,30581.895420615,0.000134815850033776,0,"1:13:4",0.000102391,170165,1,13,4,"1 13","Anti-vaccine","","","*","*"
"individual, non-P.E.",FALSE,442933,49,54376.3909961362,0.000334395950681329,1,"2:1:75",0.000230046,442933,2,1,75,"2 1","Pro-vaccine","*","*","*","*"
"individual, non-P.E.",FALSE,333953,42,386.529276560611,0.000183375651610284,0,"2:4:1:50",0.000215419,333953,2,4,1,"2 4","Pro-vaccine","","*","","*"
"individual, non-P.E.",FALSE,305225,1,0,0.000134209894572475,0,"44:2",6.65e-06,305225,44,2,NA,"44 2",NA,"","","",""
"individual, non-P.E.",FALSE,20559,29,80005.979067034,0.000572384785845097,0,"2:12:2",0.000194143,20559,2,12,2,"2 12","Pro-vaccine","","*","**","*"
"Both",TRUE,364448,199,63233.1553570221,0.00151324662965534,0,"2:2:3",0.00198398,364448,2,2,3,"2 2","Pro-vaccine","","**","*","**"
"individual, non-P.E.",FALSE,394628,168,66742.9859187065,0.00115031324607098,4,"2:1:25",0.00127922,394628,2,1,25,"2 1","Pro-vaccine","*","**","**","**"
"individual, non-P.E.",FALSE,144028,39,96931.8698518853,0.00034837097615057,0,"2:30:1",0.000132975,144028,2,30,1,"2 30","Pro-vaccine","","*","**","*"
"Both",TRUE,443456,174,12331.3471148523,0.000595703823541678,1,"1:1:63",0.00116486,443456,1,1,63,"1 1","Anti-vaccine","*","*","*","*"
"individual, non-P.E.",FALSE,252668,58,5499.32678809313,0.000409641405408903,0,"2:1:47",0.000457433,252668,2,1,47,"2 1","Pro-vaccine","","*","*","*"
"individual, non-P.E.",FALSE,423990,71,19139.2555547945,0.000379691404899447,1,"2:4:1:26",0.000453444,423990,2,4,1,"2 4","Pro-vaccine","*","*","*","*"
"individual, non-P.E.",FALSE,254257,52,129.416179720887,0.000172171512220208,0,"2:2:75",0.000240684,254257,2,2,75,"2 2","Pro-vaccine","","*","","*"
"individual, non-P.E.",FALSE,27932,112,15347.268833908,0.000642064068902104,0,"2:2:25",0.000869655,27932,2,2,25,"2 2","Pro-vaccine","","*","*","*"
"individual, non-P.E.",FALSE,367233,15,579.649072702975,4.94727718492845e-05,0,"2:2:173",4.52e-05,367233,2,2,173,"2 2","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,324347,10,31.5511415580375,4.38840313801223e-05,0,"1:4:55",3.46e-05,324347,1,4,55,"1 4","Anti-vaccine","","","",""
"non-individual",NA,164234,120,68120.0114434381,0.000507324279839983,0,"2:4:1:22",0.000549186,164234,2,4,1,"2 4","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,94927,3,127.73511911594,2.60094840713431e-05,0,"2:1:440",7.98e-06,94927,2,1,440,"2 1","Pro-vaccine","","","",""
"non-individual",NA,354053,1,0,2.54881172826483e-05,0,"2:61:6",2.66e-06,354053,2,61,6,"2 61","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,333983,29,4655.07498239518,0.000100809824078044,0,"2:2:124",9.44e-05,333983,2,2,124,"2 2","Pro-vaccine","","*","","*"
"individual, non-P.E.",FALSE,134812,12,1253.90363320032,3.75756244393324e-05,0,"1:2:146",3.72e-05,134812,1,2,146,"1 2","Anti-vaccine","","","",""
"non-individual",NA,100792,33,23914.1333082095,0.000226192328109367,0,"2:18:3",0.000147602,100792,2,18,3,"2 18","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,136322,1,0,5.3462910442027e-05,0,"1:43:5",2.66e-06,136322,1,43,5,"1 43","Anti-vaccine","","","",""
"individual, non-P.E.",FALSE,431306,2,391.023915656392,3.66252193424496e-05,0,"2:48:7",5.32e-06,431306,2,48,7,"2 48","Pro-vaccine","","","",""
"non-individual",NA,375528,74,59933.1340366004,0.000393180484659508,4,"2:3:31",0.000392276,375528,2,3,31,"2 3","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,222016,24,471.390559689184,8.82813023157366e-05,0,"2:4:1:85",9.57e-05,222016,2,4,1,"2 4","Pro-vaccine","","*","",""
"non-individual",NA,291849,228,247308.802756254,0.00112718897375627,46,"1:2:15",0.00167149,291849,1,2,15,"1 2","Anti-vaccine","","","",""
"individual, non-P.E.",FALSE,123027,1,0,3.19638584322502e-05,0,"2:20:1:3",3.99e-06,123027,2,20,1,"2 20","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,253060,7,254.44704695747,4.86590702035879e-05,0,"2:4:3:3",1.99e-05,253060,2,4,3,"2 4","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,339173,3,14.9865780238788,2.5945929222768e-05,0,"2:2:263",7.98e-06,339173,2,2,263,"2 2","Pro-vaccine","","","",""
"Name",TRUE,327184,2,6.69909374261098,2.28842558810317e-05,0,"3:1:161",5.32e-06,327184,3,1,161,"3 1",NA,"","","",""
"individual, non-P.E.",FALSE,213105,34,1728.21842864884,0.000154163267702972,0,"2:1:96",0.000166219,213105,2,1,96,"2 1","Pro-vaccine","","*","","*"
"non-individual",NA,313142,3,223.534075963172,2.64619337971511e-05,0,"3:2:158",7.98e-06,313142,3,2,158,"3 2",NA,"","","",""
"non-individual",NA,293382,1,0,2.2060681127002e-05,0,"2:3:256",2.66e-06,293382,2,3,256,"2 3","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,73048,6,432.631226548856,2.81738992226404e-05,0,"1:6:30",1.73e-05,73048,1,6,30,"1 6","Anti-vaccine","","","",""
"individual, non-P.E.",FALSE,100254,88,52966.3017817143,0.000375372543920698,30,"1:11:3",0.000374989,100254,1,11,3,"1 11","Anti-vaccine","**","*","*","*"
"individual, non-P.E.",FALSE,398876,79,6316.59446660159,0.000458846909911752,0,"1:2:28",0.000832422,398876,1,2,28,"1 2","Anti-vaccine","","*","*","*"
"individual, non-P.E.",FALSE,415173,18,110.090209665436,7.62119199497712e-05,0,"2:1:167",6.78e-05,415173,2,1,167,"2 1","Pro-vaccine","","*","",""
"individual, non-P.E.",FALSE,363138,4,66.2438253754024,2.9372982416027e-05,0,"2:1:388",1.2e-05,363138,2,1,388,"2 1","Pro-vaccine","","","",""
"Description",TRUE,454769,4,51.8749113779963,3.01045311058945e-05,0,"3:2:147",1.2e-05,454769,3,2,147,"3 2",NA,"","","",""
"individual, non-P.E.",FALSE,30746,1,0,2.15109970648029e-05,0,"2:1:674",2.66e-06,30746,2,1,674,"2 1","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,269553,44,1484.32633722229,0.000142117409887787,0,"2:2:88",0.000183505,269553,2,2,88,"2 2","Pro-vaccine","","*","","*"
"individual, non-P.E.",FALSE,169467,1,0,0.000129533678756507,0,"114:1",2.66e-06,169467,114,1,NA,"114 1",NA,"","","",""
"individual, non-P.E.",FALSE,49006,11,97.9886169801053,3.97783759205478e-05,0,"2:2:196",3.19e-05,49006,2,2,196,"2 2","Pro-vaccine","","","",""
"non-individual",NA,210483,3,7.42811355311355,3.1524926452146e-05,0,"2:16:19",7.98e-06,210483,2,16,19,"2 16","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,261019,4,7126.23717532468,7.10293899344394e-05,0,"2:15:23",1.2e-05,261019,2,15,23,"2 15","Pro-vaccine","","","*",""
"individual, non-P.E.",FALSE,179974,92,107207.621265261,0.000568936866901411,0,"3:7:1",0.000605035,179974,3,7,1,"3 7",NA,"","","",""
"individual, non-P.E.",FALSE,150144,27,366.633214498185,0.000157491353832221,0,"2:1:95",0.000171538,150144,2,1,95,"2 1","Pro-vaccine","","*","","*"
"individual, non-P.E.",FALSE,410014,63,24445.2484955914,0.000373064597756671,0,"2:1:56",0.000359032,410014,2,1,56,"2 1","Pro-vaccine","","*","*","*"
"non-individual",NA,91074,19,350.498017092817,0.000123537734281177,0,"2:2:128",8.91e-05,91074,2,2,128,"2 2","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,362133,272,104840.060536248,0.00105566245912887,5,"1:1:31",0.00199595,362133,1,1,31,"1 1","Anti-vaccine","*","**","**","**"
"individual, non-P.E.",FALSE,410547,7,59.3740823602868,3.231365278227e-05,0,"1:1:399",2.79e-05,410547,1,1,399,"1 1","Anti-vaccine","","","",""
"individual, non-P.E.",FALSE,182369,21,177.930984349424,0.000126715504539992,0,"3:3:11",0.000172867,182369,3,3,11,"3 3",NA,"","","",""
"non-individual",NA,87685,23,30453.8032572877,0.000192423735125324,0,"2:11:7",0.000102391,87685,2,11,7,"2 11","Pro-vaccine","","","",""
"Both",TRUE,66357,14,5191.21615462055,5.58523265124187e-05,0,"3:11:2",4.12e-05,66357,3,11,2,"3 11",NA,"","","",""
"individual, non-P.E.",FALSE,374432,11,106.192623136452,5.37784431947887e-05,0,"2:4:1:116",4.26e-05,374432,2,4,1,"2 4","Pro-vaccine","","","",""
"non-individual",NA,178715,9,3380.13930444386,7.72206010318807e-05,0,"2:46:4",2.53e-05,178715,2,46,4,"2 46","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,52538,1,0,4.33502450627404e-05,0,"5:4:3",2.66e-06,52538,5,4,3,"5 4",NA,"","","",""
"individual, non-P.E.",FALSE,4523,167,47624.4066973524,0.000562221679952577,1,"1:1:62",0.00117151,4523,1,1,62,"1 1","Anti-vaccine","*","*","*","*"
"individual, non-P.E.",FALSE,314403,1,0,2.35218559077732e-05,0,"2:2:357",2.66e-06,314403,2,2,357,"2 2","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,433194,20,14538.6710678564,0.000115749982979933,0,"3:2:76",7.31e-05,433194,3,2,76,"3 2",NA,"","","",""
"individual, non-P.E.",FALSE,453052,349,181405.084665974,0.00497599881386357,1,"2:1:5",0.00540942,453052,2,1,5,"2 1","Pro-vaccine","*","**","**","**"
"individual, non-P.E.",FALSE,307410,12,29636.1382212192,0.000346656104362998,1,"2:20:3:1",6.25e-05,307410,2,20,3,"2 20","Pro-vaccine","*","","*","*"
"individual, non-P.E.",FALSE,411091,20,28072.4352562991,0.000142313541575023,7,"2:40:1",7.71e-05,411091,2,40,1,"2 40","Pro-vaccine","*","*","*","*"
"non-individual",NA,300745,51,19941.0410186312,0.000262184737528441,1,"2:3:43",0.000256641,300745,2,3,43,"2 3","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,232720,1,0,2.44491333633321e-05,0,"2:18:20",2.66e-06,232720,2,18,20,"2 18","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,385589,47,2853.49487369775,0.000128662050300143,0,"1:2:67",0.000224727,385589,1,2,67,"1 2","Anti-vaccine","","*","*","*"
"non-individual",NA,244445,12,9904.54843186193,5.61001926523521e-05,5,"2:19:8",3.59e-05,244445,2,19,8,"2 19","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,331149,56,52795.2665079288,0.000372978866044151,10,"1:11:2",0.000378978,331149,1,11,2,"1 11","Anti-vaccine","**","*","*","*"
"individual, non-P.E.",FALSE,347640,57,3863.40973558569,0.000373239151833058,0,"2:1:51",0.000432168,347640,2,1,51,"2 1","Pro-vaccine","","*","","*"
"individual, non-P.E.",FALSE,331775,1,0,2.11340190179842e-05,0,"2:2:376",2.66e-06,331775,2,2,376,"2 2","Pro-vaccine","","","",""
"Description",TRUE,393541,3,548.084168700629,5.77035378651428e-05,0,"2:51:6",7.98e-06,393541,2,51,6,"2 51","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,317509,34,1752.31489358732,9.57539651435912e-05,0,"1:1:217",0.000154251,317509,1,1,217,"1 1","Anti-vaccine","","*","*","*"
NA,NA,40115,191,74659.0179523402,0.00156492611227365,0,"1:3:8",0.00261694,40115,1,3,8,"1 3","Anti-vaccine","","","",""
"non-individual",NA,116368,199,524488.533693792,0.00119087321687356,14,"2:3:12",0.00108109,116368,2,3,12,"2 3","Pro-vaccine","","","",""
"Both",TRUE,205011,47,13401.7597412677,0.000121498917145289,0,"1:14:1",0.000198133,205011,1,14,1,"1 14","Anti-vaccine","","*","*","*"
"individual, non-P.E.",FALSE,320529,10,7201.71476537486,0.00015814964758703,0,"2:12:9",5.19e-05,320529,2,12,9,"2 12","Pro-vaccine","","","*","*"
"Both",TRUE,409056,389,211416.842643565,0.00227656520802174,5,"1:2:8",0.00445067,409056,1,2,8,"1 2","Anti-vaccine","*","**","**","**"
"non-individual",NA,196149,45,31464.5160039107,0.000166993921375495,19,"1:4:20",0.000196803,196149,1,4,20,"1 4","Anti-vaccine","","","",""
"individual, non-P.E.",FALSE,222880,303,353036.573162262,0.00159284706636776,33,"1:1:27",0.00255844,222880,1,1,27,"1 1","Anti-vaccine","***","**","**","**"
"non-individual",NA,330019,49,43169.4237478781,0.000279348286540499,0,"2:3:50",0.0002101,330019,2,3,50,"2 3","Pro-vaccine","","","",""
"non-individual",NA,134197,1,0,2.0672836048847e-05,0,"1:2:537",2.66e-06,134197,1,2,537,"1 2","Anti-vaccine","","","",""
"individual, non-P.E.",FALSE,217019,58,21750.7293439414,0.000196355602476252,0,"1:2:65",0.000257971,217019,1,2,65,"1 2","Anti-vaccine","","*","*","*"
"individual, non-P.E.",FALSE,410705,8,615.321321270153,4.08599420719659e-05,0,"3:2:112",2.66e-05,410705,3,2,112,"3 2",NA,"","","",""
"individual, non-P.E.",FALSE,369857,93,29051.7919990701,0.000419005665057593,2,"1:2:31",0.000700777,369857,1,2,31,"1 2","Anti-vaccine","*","*","*","*"
"individual, non-P.E.",FALSE,289042,12,4495.17260959215,7.39952124825123e-05,0,"3:11:3",3.86e-05,289042,3,11,3,"3 11",NA,"","","",""
"non-individual",NA,395807,8,8812.35577151951,7.78414756281984e-05,0,"2:18:8",2.79e-05,395807,2,18,8,"2 18","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,7815,17,499.420527784081,4.02565212382269e-05,0,"1:1:331",4.79e-05,7815,1,1,331,"1 1","Anti-vaccine","","","",""
"individual, non-P.E.",FALSE,158537,4,74.2746796940757,3.07647213099364e-05,1,"1:11:31",1.2e-05,158537,1,11,31,"1 11","Anti-vaccine","*","","",""
"individual, non-P.E.",FALSE,238471,2,93.4847881166548,2.21540957037756e-05,0,"1:2:377",5.32e-06,238471,1,2,377,"1 2","Anti-vaccine","","","",""
"Description",TRUE,295644,134,11891.5142764483,0.000448274526643708,2,"1:1:82",0.000863007,295644,1,1,82,"1 1","Anti-vaccine","*","*","*","*"
"individual, non-P.E.",FALSE,35285,2,11542.6829047141,6.93772716124415e-05,0,"2:59:5",5.32e-06,35285,2,59,5,"2 59","Pro-vaccine","","","*",""
"individual, non-P.E.",FALSE,311724,11,312.417332331473,4.70691839109942e-05,0,"1:2:119",5.58e-05,311724,1,2,119,"1 2","Anti-vaccine","","","",""
"individual, non-P.E.",FALSE,87014,22,864.77334591521,9.33024339847694e-05,0,"2:1:142",8.64e-05,87014,2,1,142,"2 1","Pro-vaccine","","*","",""
"individual, non-P.E.",FALSE,245438,85,8179.04603083619,0.000375929552679046,0,"2:2:39",0.000535889,245438,2,2,39,"2 2","Pro-vaccine","","*","*","*"
"Description",TRUE,290579,14,8132.38816035883,9.03534959612409e-05,0,"2:1:197",5.19e-05,290579,2,1,197,"2 1","Pro-vaccine","","","*",""
"individual, non-P.E.",FALSE,328881,43,554.843750326317,0.000143518459937737,0,"2:2:86",0.000191484,328881,2,2,86,"2 2","Pro-vaccine","","*","","*"
"individual, non-P.E.",FALSE,268459,4,115.267767717609,2.37149791646629e-05,0,"1:1:511",1.06e-05,268459,1,1,511,"1 1","Anti-vaccine","","","",""
"non-individual",NA,311114,6,22391.1352479513,0.000135405889747128,0,"2:64:2",1.6e-05,311114,2,64,2,"2 64","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,294739,3,16.8213627277395,2.52701568248609e-05,0,"2:2:282",7.98e-06,294739,2,2,282,"2 2","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,378791,1,0,2.07257453512704e-05,0,"1:2:430",2.66e-06,378791,1,2,430,"1 2","Anti-vaccine","","","",""
"individual, non-P.E.",FALSE,456559,12,718.103909050744,5.18755478920158e-05,0,"2:1:226",4.12e-05,456559,2,1,226,"2 1","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,172562,12,26.4383538357087,6.80551924623347e-05,0,"2:1:185",5.98e-05,172562,2,1,185,"2 1","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,438451,21,40828.3495989969,0.00016269761433389,0,"3:2:75",7.45e-05,438451,3,2,75,"3 2",NA,"","","",""
"individual, non-P.E.",FALSE,191939,4,133.745042602476,2.49118889172241e-05,0,"1:2:245",1.06e-05,191939,1,2,245,"1 2","Anti-vaccine","","","",""
"individual, non-P.E.",FALSE,320385,31,278.213245556571,0.000124242028949009,0,"2:4:1:67",0.000139624,320385,2,4,1,"2 4","Pro-vaccine","","*","","*"
"individual, non-P.E.",FALSE,325283,2,3.51529316467805,2.27550267844802e-05,0,"1:4:86",5.32e-06,325283,1,4,86,"1 4","Anti-vaccine","","","",""
"individual, non-P.E.",FALSE,360760,1,0,2.16934176874479e-05,0,"2:1:571",2.66e-06,360760,2,1,571,"2 1","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,292578,1,0,2.07831278573908e-05,0,"1:2:446",2.66e-06,292578,1,2,446,"1 2","Anti-vaccine","","","",""
NA,NA,133769,152,37441.7667416955,0.000939012098039595,0,"1:3:15",0.00165687,133769,1,3,15,"1 3","Anti-vaccine","","","",""
"individual, non-P.E.",FALSE,22845,2,0,2.36341797025909e-05,0,"2:2:289",6.65e-06,22845,2,2,289,"2 2","Pro-vaccine","","","",""
"Description",TRUE,75153,1,0,2.50832466313868e-05,0,"2:24:12",2.66e-06,75153,2,24,12,"2 24","Pro-vaccine","","","",""
"Description",TRUE,77055,4,282.02002312444,2.78068640734113e-05,0,"2:2:255",1.06e-05,77055,2,2,255,"2 2","Pro-vaccine","","","",""
"non-individual",NA,17065,21,9034.08227814155,6.40281482143796e-05,8,"1:4:42",6.12e-05,17065,1,4,42,"1 4","Anti-vaccine","","","",""
"non-individual",NA,395393,1,0,2.40232943227577e-05,0,"2:10:36",2.66e-06,395393,2,10,36,"2 10","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,375893,3,472.555872576872,2.62763802933051e-05,0,"2:1:447",7.98e-06,375893,2,1,447,"2 1","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,294802,1,0,2.17196663597379e-05,0,"2:1:661",2.66e-06,294802,2,1,661,"2 1","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,25309,14,7308.21086387157,6.3210250120708e-05,0,"1:2:121",5.45e-05,25309,1,2,121,"1 2","Anti-vaccine","","","*",""
"individual, non-P.E.",FALSE,75165,22,24697.6531610133,0.000140991302859768,0,"2:1:151",7.98e-05,75165,2,1,151,"2 1","Pro-vaccine","","*","*","*"
"non-individual",NA,373180,18,12162.0219109783,0.000104783439568302,0,"2:26:3",6.12e-05,373180,2,26,3,"2 26","Pro-vaccine","","","",""
"non-individual",NA,251647,62,67379.147194509,0.000515700648316951,0,"3:5:3",0.000466742,251647,3,5,3,"3 5",NA,"","","",""
"individual, non-P.E.",FALSE,300988,9,2641.19500508448,6.25753391619402e-05,0,"2:1:266",2.93e-05,300988,2,1,266,"2 1","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,258226,2,80.2901276545243,2.20507556309051e-05,0,"1:2:333",5.32e-06,258226,1,2,333,"1 2","Anti-vaccine","","","",""
"non-individual",NA,151000,18,26267.5830593939,0.000146106284842801,0,"2:61:1",5.45e-05,151000,2,61,1,"2 61","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,448319,120,37214.9946017346,0.000429249295329189,2,"1:9:2",0.000678172,448319,1,9,2,"1 9","Anti-vaccine","*","*","*","*"
"individual, non-P.E.",FALSE,210769,7,208.640886220609,2.68399383206266e-05,0,"1:1:440",1.86e-05,210769,1,1,440,"1 1","Anti-vaccine","","","",""
"non-individual",NA,128628,115,90234.4425364886,0.000560889941516889,1,"3:4:2",0.000614344,128628,3,4,2,"3 4",NA,"","","",""
"individual, non-P.E.",FALSE,254532,1,0,2.12541146250421e-05,0,"2:2:344",2.66e-06,254532,2,2,344,"2 2","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,14133,4,429.853244909542,2.45115015788615e-05,0,"1:2:252",1.06e-05,14133,1,2,252,"1 2","Anti-vaccine","","","",""
"individual, non-P.E.",FALSE,161465,3,544.936544427172,2.35399892663188e-05,0,"1:2:291",7.98e-06,161465,1,2,291,"1 2","Anti-vaccine","","","",""
"individual, non-P.E.",FALSE,145779,2,158.54787252857,2.2030782524218e-05,0,"1:2:370",5.32e-06,145779,1,2,370,"1 2","Anti-vaccine","","","",""
"non-individual",NA,138719,4,854.769483622041,4.44182591579801e-05,0,"2:5:33",1.33e-05,138719,2,5,33,"2 5","Pro-vaccine","","","",""
NA,NA,175004,7,23916.5604394938,0.000170855158189017,0,"2:56:2",2.53e-05,175004,2,56,2,"2 56","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,64110,1,0,2.07148826911194e-05,0,"1:1:642",2.66e-06,64110,1,1,642,"1 1","Anti-vaccine","","","",""
"individual, non-P.E.",FALSE,160700,97,18193.2147318048,0.000348550396347681,0,"1:2:35",0.000628971,160700,1,2,35,"1 2","Anti-vaccine","","*","*","*"
"individual, non-P.E.",FALSE,233788,40,12299.3891603976,0.000139131869262457,3,"2:2:99",0.000147602,233788,2,2,99,"2 2","Pro-vaccine","*","*","*","*"
"non-individual",NA,73834,1,0,2.21890784192683e-05,0,"2:5:91",2.66e-06,73834,2,5,91,"2 5","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,49869,2,7099,5.94756078595178e-05,0,"2:179:1",5.32e-06,49869,2,179,1,"2 179","Pro-vaccine","","","*",""
"non-individual",NA,97458,2,0.347619047619048,2.60331645812621e-05,0,"2:11:19",5.32e-06,97458,2,11,19,"2 11","Pro-vaccine","","","",""
"Description",TRUE,292192,39,1646.34348073556,0.000183359585946134,1,"2:1:87",0.000194143,292192,2,1,87,"2 1","Pro-vaccine","*","*","","*"
"individual, non-P.E.",FALSE,150887,20,7397.25961319599,0.000117930021058464,1,"2:39:2",7.58e-05,150887,2,39,2,"2 39","Pro-vaccine","*","*","*","*"
"individual, non-P.E.",FALSE,443931,9,6304.09689386975,4.8144361851166e-05,2,"2:1:281",2.53e-05,443931,2,1,281,"2 1","Pro-vaccine","*","","*",""
"Description",TRUE,329368,2,199.383451418682,2.40719919969062e-05,0,"2:5:67",5.32e-06,329368,2,5,67,"2 5","Pro-vaccine","","","",""
"Both",TRUE,256301,5,75.4279477404224,4.10431349464428e-05,0,"2:4:1:150",2.13e-05,256301,2,4,1,"2 4","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,264785,2,0,3.40559685500047e-05,0,"2:15:32",7.98e-06,264785,2,15,32,"2 15","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,134641,1,0,5.8102874442915e-05,0,"2:126:4",2.66e-06,134641,2,126,4,"2 126","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,171878,32,1493.8682864997,0.000142039651347159,0,"2:1:106",0.000136964,171878,2,1,106,"2 1","Pro-vaccine","","*","","*"
"individual, non-P.E.",FALSE,172147,3,20.3350398209955,2.48084630024736e-05,0,"2:2:280",7.98e-06,172147,2,2,280,"2 2","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,405091,2,19.045874431806,2.98254184907339e-05,0,"2:15:37",5.32e-06,405091,2,15,37,"2 15","Pro-vaccine","","","",""
NA,NA,317111,55,11382.4976093779,0.000236736708547808,0,"1:3:70",0.000243344,317111,1,3,70,"1 3","Anti-vaccine","","","",""
"individual, non-P.E.",FALSE,339513,24,2817.43898159943,6.53099937398817e-05,0,"1:7:21",9.04e-05,339513,1,7,21,"1 7","Anti-vaccine","","*","*",""
"individual, non-P.E.",FALSE,145513,41,552.490733182195,0.000137801281426493,0,"2:4:1:59",0.000163559,145513,2,4,1,"2 4","Pro-vaccine","","*","","*"
"individual, non-P.E.",FALSE,391244,5,255.885867238415,3.58755950389322e-05,0,"1:15:10",1.46e-05,391244,1,15,10,"1 15","Anti-vaccine","","","",""
"Both",TRUE,446723,78,3576.7333162235,0.000341301119129235,0,"2:2:42",0.000472061,446723,2,2,42,"2 2","Pro-vaccine","","*","","*"
"non-individual",NA,391398,1,0,2.94004732583253e-05,0,"2:23:18",2.66e-06,391398,2,23,18,"2 23","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,376202,135,99639.0055382684,0.000599224188741751,8,"1:12:1",0.000789871,376202,1,12,1,"1 12","Anti-vaccine","*","*","**","*"
"individual, non-P.E.",FALSE,317331,51,2651.47282920666,0.000137450142397653,0,"1:1:181",0.000224727,317331,1,1,181,"1 1","Anti-vaccine","","*","*","*"
"Both",TRUE,314341,123,76665.7030940108,0.000681320976238703,2,"2:1:33",0.000664874,314341,2,1,33,"2 1","Pro-vaccine","*","*","**","*"
"Both",TRUE,263853,3,382.110128554891,2.67868081797127e-05,0,"2:5:52",7.98e-06,263853,2,5,52,"2 5","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,413812,7,337.095439122483,3.88256021785881e-05,0,"2:1:299",2.39e-05,413812,2,1,299,"2 1","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,122757,363,37550.6299180893,0.00187043793236568,4,"1:1:15",0.00430174,122757,1,1,15,"1 1","Anti-vaccine","*","**","*","**"
"individual, non-P.E.",FALSE,206541,1,0,0.000129533678756507,0,"179:2",2.66e-06,206541,179,2,NA,"179 2",NA,"","","",""
"non-individual",NA,432135,108,43224.6031781669,0.000522751361869827,2,"2:3:23",0.000565143,432135,2,3,23,"2 3","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,355372,1,0,2.69870647883181e-05,0,"2:9:40",3.99e-06,355372,2,9,40,"2 9","Pro-vaccine","","","",""
"Both",TRUE,189340,23,9448.35361778977,9.37638752452774e-05,2,"2:2:138",7.58e-05,189340,2,2,138,"2 2","Pro-vaccine","*","*","*",""
"individual, non-P.E.",FALSE,412729,1,0,0.000129533678756408,0,"114:2",2.66e-06,412729,114,2,NA,"114 2",NA,"","","",""
"individual, non-P.E.",FALSE,50985,1,0,6.63359976902141e-05,0,"23:1:4",2.66e-06,50985,23,1,4,"23 1",NA,"","","",""
"individual, non-P.E.",FALSE,34328,4,17,0.000248325595818072,0,"23:1:2",1.2e-05,34328,23,1,2,"23 1",NA,"","","",""
"individual, non-P.E.",FALSE,318130,1,0,3.1946226417291e-05,0,"2:94:6",2.66e-06,318130,2,94,6,"2 94","Pro-vaccine","","","",""
"individual, non-P.E.",FALSE,216306,8,7120.75,0.00016905557280671,0,"2:20:2:2",3.46e-05,216306,2,20,2,"2 20","Pro-vaccine","","","*","*"
"individual, non-P.E.",FALSE,237363,3,0,0.000120479964761086,0,"2:68:3",1.99e-05,237363,2,68,3,"2 68","Pro-vaccine","","","","*"
"individual, non-P.E.",FALSE,307727,5,11.2499073837959,3.65970747710343e-05,0,"3:8:6",1.6e-05,307727,3,8,6,"3 8",NA,"","","",""
"individual, non-P.E.",FALSE,295294,27,1805.13248315908,0.000105485852209814,0,"2:4:1:72",0.000117018,295294,2,4,1,"2 4","Pro-vaccine","","*","","*"
"individual, non-P.E.",FALSE,349282,92,9976.38502609774,0.000232406376000427,0,"1:1:112",0.000499985,349282,1,1,112,"1 1","Anti-vaccine","","*","*","*"
